FIPS,Geographic Identifier,Total Population:,Total Population: Under 18 Years,Total Population: 18 to 34 Years,Total Population: 35 to 64 Years,Total Population: 65 and Over,% Total Population: Under 18 Years,% Total Population: 18 to 34 Years,% Total Population: 35 to 64 Years,% Total Population: 65 and Over,Population 25 Years and Over,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Diploma,Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Household Income (In 2018 Inflation Adjusted Dollars),Gini Index,Total Population in Occupied Housing Units: Renter Occupied,"Total Population in Occupied Housing Units: Renter Occupied: 1, Detached or Attached",Total Population in Occupied Housing Units: Renter Occupied: 2 to 4,Total Population in Occupied Housing Units: Renter Occupied: 5 or More,Total Population in Occupied Housing Units: Renter Occupied: Mobile Home,"Total Population in Occupied Housing Units: Renter Occupied: Boat, Rv, Van, Etc.","% Total Population in Occupied Housing Units: Renter Occupied: 1, Detached or Attached",% Total Population in Occupied Housing Units: Renter Occupied: 2 to 4,% Total Population in Occupied Housing Units: Renter Occupied: 5 or More,% Total Population in Occupied Housing Units: Renter Occupied: Mobile Home,"% Total Population in Occupied Housing Units: Renter Occupied: Boat, Rv, Van, Etc.",Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,% Renter-Occupied Housing Units: 30 to 49 Percent,% Renter-Occupied Housing Units: 50 percent or More,Median Gross Rent as a Percentage of Household  Income in the Past 12 Months (Dollars),Owner-Occupied Housing Units,Owner-Occupied Housing Units: Homeowners Who are Paying at Least 30% of Income for Ownership Costs,Owner-Occupied Housing Units: Homeowners Who are Paying at Least 50% of Income for Ownership Costs,% Owner-Occupied Housing Units: Homeowners Who are Paying at Least 30% of Income for Ownership Costs,% Owner-Occupied Housing Units: Homeowners Who are Paying at Least 50% of Income for Ownership Costs,Median Selected Monthly Owner Costs as a Percentage of Household Income:,Median Selected Monthly Owner Costs as a Percentage Of&nbsp; Household Income: Housing Units with a Mortgage,Median Selected Monthly Owner Costs as a Percentage Of&nbsp; Household Income: Housing Units Without a Mortgage
Geo_FIPS,Geo_GEOID,SE_B01001_001,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,PCT_SE_B01001_002,PCT_SE_B01001_003,PCT_SE_B01001_004,PCT_SE_B01001_005,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,PCT_SE_B12001_002,PCT_SE_B12001_003,PCT_SE_B12001_004,SE_A17005_001,SE_A17005_002,SE_A17005_003,PCT_SE_A17005_002,PCT_SE_A17005_003,SE_A14006_001,SE_A14028_001,SE_A10062B_001,SE_A10062B_002,SE_A10062B_003,SE_A10062B_004,SE_A10062B_005,SE_A10062B_006,PCT_SE_A10062B_002,PCT_SE_A10062B_003,PCT_SE_A10062B_004,PCT_SE_A10062B_005,PCT_SE_A10062B_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003,SE_A18003_001,SE_B10040_001,SE_B10040_002,SE_B10040_003,PCT_SE_B10040_002,PCT_SE_B10040_003,SE_A10037_001,SE_A10037_002,SE_A10037_003
2.7009E+11,15000US270090203001,2028,665,468,670,225,32.79,23.08,33.04,11.09,1292,34,910,348,2.63,70.43,26.93,1080,1033,47,95.65,4.35,78417,,446,431,0,15,0,0,96.64,0,3.36,0,0,111,0,34,0,30.63,25.5,596,123,65,20.64,10.91,19.10000038,20.10000038,13.39999962
2.7009E+11,15000US270090203002,1516,503,219,580,214,33.18,14.45,38.26,14.12,979,55,664,260,5.62,67.82,26.56,798,795,3,99.62,0.38,82708,,164,102,60,2,0,0,62.2,36.59,1.22,0,0,55,7,0,12.73,0,16.79999924,469,114,19,24.31,4.05,20.60000038,23.5,12.89999962
2.7009E+11,15000US270090212001,1408,301,513,504,90,21.38,36.43,35.8,6.39,865,78,530,257,9.02,61.27,29.71,866,850,16,98.15,1.85,34737,,472,0,126,320,26,0,0,26.69,67.8,5.51,0,288,116,103,40.28,35.76,41.59999847,388,55,13,14.18,3.35,19,19.70000076,9
2.7009E+11,15000US270090212002,1295,196,231,661,207,15.14,17.84,51.04,15.98,937,203,586,148,21.66,62.54,15.8,747,633,114,84.74,15.26,37212,,615,121,89,405,0,0,19.67,14.47,65.85,0,0,324,135,65,41.67,20.06,31.70000076,303,27,0,8.91,0,18.20000076,22.5,9
2.7009E+11,15000US270090212003,1249,137,574,494,44,10.97,45.96,39.55,3.52,765,119,567,79,15.56,74.12,10.33,833,813,20,97.6,2.4,40516,,929,27,59,843,0,0,2.91,6.35,90.74,0,0,594,112,152,18.86,25.59,27.29999924,161,42,42,26.09,26.09,23.79999924,25.10000038,19.10000038
2.7009E+11,15000US270090212004,969,227,277,389,76,23.43,28.59,40.14,7.84,580,46,373,161,7.93,64.31,27.76,617,597,20,96.76,3.24,51786,,489,6,51,432,0,0,1.23,10.43,88.34,0,0,180,46,0,25.56,0,26.5,210,60,49,28.57,23.33,16,28,9
2.7009E+11,15000US270090212005,1723,313,808,421,181,18.17,46.89,24.43,10.5,966,141,619,206,14.6,64.08,21.33,1077,1053,24,97.77,2.23,39929,,1178,34,307,837,0,0,2.89,26.06,71.05,0,0,575,230,86,40,14.96,31,235,22,10,9.36,4.26,15.19999981,17.20000076,13.60000038
2.7141E+11,15000US271410303001,760,161,79,370,150,21.18,10.39,48.68,19.74,574,24,440,110,4.18,76.66,19.16,412,397,15,96.36,3.64,73750,,75,75,0,0,0,0,100,0,0,0,0,36,0,9,0,25,18.79999924,241,65,20,26.97,8.3,20.39999962,23.79999924,9
2.7141E+11,15000US271410303004,1553,316,257,720,260,20.35,16.55,46.36,16.74,1125,42,685,398,3.73,60.89,35.38,869,856,13,98.5,1.5,96406,,143,113,21,9,0,0,79.02,14.69,6.29,0,0,59,9,17,15.25,28.81,27,507,86,43,16.96,8.48,14,19.70000076,9
2.7141E+11,15000US271410315001,2529,671,417,779,662,26.53,16.49,30.8,26.18,1756,233,904,619,13.27,51.48,35.25,884,839,45,94.91,5.09,38618,,1055,314,187,554,0,0,29.76,17.73,52.51,0,0,538,50,261,9.29,48.51,37.79999924,457,109,83,23.85,18.16,16.29999924,21.70000076,11.69999981
2.7141E+11,15000US271410315002,1530,312,380,570,268,20.39,24.84,37.25,17.52,1140,120,670,350,10.53,58.77,30.7,832,820,12,98.56,1.44,44531,,589,406,0,183,0,0,68.93,0,31.07,0,0,228,98,18,42.98,7.89,31.29999924,489,173,89,35.38,18.2,20.29999924,21.79999924,15
2.7141E+11,15000US271410315003,1445,269,632,371,173,18.62,43.74,25.67,11.97,893,29,614,250,3.25,68.76,28,948,948,0,100,0,48043,,740,39,29,672,0,0,5.27,3.92,90.81,0,0,335,38,52,11.34,15.52,25.60000038,269,54,0,20.07,0,21.39999962,22.89999962,
2.7141E+11,15000US271410315004,2100,18,1299,584,199,0.86,61.86,27.81,9.48,1454,226,1142,86,15.54,78.54,5.91,704,610,94,86.65,13.35,,,940,166,16,758,0,0,17.66,1.7,80.64,0,0,428,63,103,14.72,24.07,19.29999924,44,27,27,61.36,61.36,51,,
2.7145E+11,15000US271450003011,1624,327,684,373,240,20.14,42.12,22.97,14.78,970,132,655,183,13.61,67.53,18.87,930,833,97,89.57,10.43,44583,,1012,445,60,507,0,0,43.97,5.93,50.1,0,0,388,78,107,20.1,27.58,29.39999962,290,18,0,6.21,0,16,18.89999962,15
2.7145E+11,15000US271450003012,1788,452,693,521,122,25.28,38.76,29.14,6.82,1077,90,733,254,8.36,68.06,23.58,1177,1045,132,88.79,11.21,42625,,792,671,0,114,7,0,84.72,0,14.39,0.88,0,292,56,72,19.18,24.66,27.89999962,407,89,44,21.87,10.81,20.70000076,21.60000038,17.39999962
