FIPS,Geographic Identifier,Gini Index,Total Population:,Total Population: Native Born,Total Population: Foreign Born,Total Population: Foreign Born: Naturalized Citizen,Total Population: Foreign Born: Not a Citizen,% Total Population: Native Born,% Total Population: Foreign Born,% Total Population: Foreign Born: Naturalized Citizen,% Total Population: Foreign Born: Not a Citizen,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: in Labor Force,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: in Labor Force: Employed,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: in Labor Force: Unemployed,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: Not in Labor Force,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: in Labor Force,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: in Labor Force: Employed,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: in Labor Force: Unemployed,Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: Not in Labor Force,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: in Labor Force,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: in Labor Force: Employed,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: in Labor Force: Unemployed,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months Below Poverty Level: Male: Not in Labor Force,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: in Labor Force,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: in Labor Force: Employed,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: in Labor Force: Unemployed,% Civilian Population 16 Years and Over for Whom Poverty Status Is Determined: Income in the Past 12 Months At or Above Poverty Level: Male: Not in Labor Force
27009020100,14000US27009020100,0.3739,5783,5714,69,46,23,98.81,1.19,0.8,0.4,4147,306,98,82,16,208,3841,2867,2814,53,974,7.38,2.36,1.98,0.39,5.02,92.62,69.13,67.86,1.28,23.49
27009020202,14000US27009020202,0.4085,2814,2775,39,14,25,98.61,1.39,0.5,0.89,2121,67,18,18,0,49,2054,1512,1463,49,542,3.16,0.85,0.85,0,2.31,96.84,71.29,68.98,2.31,25.55
27009020203,14000US27009020203,0.3237,2635,2606,29,24,5,98.9,1.1,0.91,0.19,1918,99,39,36,3,60,1819,1516,1461,55,303,5.16,2.03,1.88,0.16,3.13,94.84,79.04,76.17,2.87,15.8
27009020205,14000US27009020205,0.3769,3177,3152,25,17,8,99.21,0.79,0.54,0.25,2499,167,59,42,17,108,2332,1695,1609,86,637,6.68,2.36,1.68,0.68,4.32,93.32,67.83,64.39,3.44,25.49
27009020206,14000US27009020206,0.448,2452,2407,45,41,4,98.16,1.84,1.67,0.16,1930,183,47,47,0,136,1747,1018,993,25,729,9.48,2.44,2.44,0,7.05,90.52,52.75,51.45,1.3,37.77
27009020300,14000US27009020300,0.3795,3544,3386,158,158,0,95.54,4.46,4.46,0,2470,139,69,69,0,70,2331,1809,1759,50,522,5.63,2.79,2.79,0,2.83,94.37,73.24,71.21,2.02,21.13
27009021101,14000US27009021101,0.4188,8011,7792,219,7,212,97.27,2.73,0.09,2.65,5762,776,429,321,108,347,4986,3715,3559,156,1271,13.47,7.45,5.57,1.87,6.02,86.53,64.47,61.77,2.71,22.06
27009021102,14000US27009021102,0.4293,4719,4514,205,104,101,95.66,4.34,2.2,2.14,3713,629,244,221,23,385,3084,2319,2282,37,765,16.94,6.57,5.95,0.62,10.37,83.06,62.46,61.46,1,20.6
27009021200,14000US27009021200,0.4354,6644,5846,798,295,503,87.99,12.01,4.44,7.57,5545,1206,681,617,64,525,4339,3459,3329,130,880,21.75,12.28,11.13,1.15,9.47,78.25,62.38,60.04,2.34,15.87
27141030101,14000US27141030101,0.3577,11573,11253,320,269,51,97.23,2.77,2.32,0.44,8651,499,252,221,31,247,8152,6203,5983,220,1949,5.77,2.91,2.55,0.36,2.86,94.23,71.7,69.16,2.54,22.53
27141030102,14000US27141030102,0.3103,7969,7895,74,74,0,99.07,0.93,0.93,0,5901,254,152,152,0,102,5647,4380,4193,187,1267,4.3,2.58,2.58,0,1.73,95.7,74.22,71.06,3.17,21.47
27141030200,14000US27141030200,0.3399,7468,7343,125,88,37,98.33,1.67,1.18,0.5,5703,209,63,40,23,146,5494,4139,4018,121,1355,3.66,1.1,0.7,0.4,2.56,96.34,72.58,70.45,2.12,23.76
